INFO:root:Initialized quantum device with 8 qubits
INFO:root:Successfully initialized quantum components with 8 qubits
INFO:httpx:HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
INFO:root:Starting quantum factorization of 15226050279225333605356183781326374297180681149613
INFO:qiskit.passmanager.base_tasks:Pass: ContainsInstruction - 0.01359 (ms)
INFO:qiskit.passmanager.base_tasks:Pass: UnitarySynthesis - 0.00906 (ms)
INFO:qiskit.passmanager.base_tasks:Pass: HighLevelSynthesis - 0.58675 (ms)
INFO:qiskit.passmanager.base_tasks:Pass: BasisTranslator - 0.09346 (ms)
INFO:qiskit.passmanager.base_tasks:Pass: ElidePermutations - 0.28634 (ms)
INFO:qiskit.passmanager.base_tasks:Pass: RemoveDiagonalGatesBeforeMeasure - 0.01884 (ms)
INFO:qiskit.passmanager.base_tasks:Pass: RemoveIdentityEquivalent - 0.02885 (ms)
INFO:qiskit.passmanager.base_tasks:Pass: InverseCancellation - 0.18358 (ms)
INFO:qiskit.passmanager.base_tasks:Pass: CommutativeCancellation - 0.50473 (ms)
INFO:qiskit.passmanager.base_tasks:Pass: ConsolidateBlocks - 0.47231 (ms)
INFO:qiskit.passmanager.base_tasks:Pass: Split2QUnitaries - 0.05341 (ms)
INFO:qiskit.passmanager.base_tasks:Pass: UnitarySynthesis - 0.00858 (ms)
INFO:qiskit.passmanager.base_tasks:Pass: HighLevelSynthesis - 0.68808 (ms)
INFO:qiskit.passmanager.base_tasks:Pass: BasisTranslator - 0.10180 (ms)
INFO:qiskit.passmanager.base_tasks:Pass: ConsolidateBlocks - 0.37837 (ms)
INFO:qiskit.passmanager.base_tasks:Pass: UnitarySynthesis - 0.00691 (ms)
INFO:qiskit.passmanager.base_tasks:Pass: Depth - 0.03171 (ms)
INFO:qiskit.passmanager.base_tasks:Pass: FixedPoint - 0.00620 (ms)
INFO:qiskit.passmanager.base_tasks:Pass: Size - 0.00405 (ms)
INFO:qiskit.passmanager.base_tasks:Pass: FixedPoint - 0.00381 (ms)
INFO:qiskit.passmanager.base_tasks:Pass: RemoveIdentityEquivalent - 0.02480 (ms)
INFO:qiskit.passmanager.base_tasks:Pass: Optimize1qGatesDecomposition - 0.29469 (ms)
INFO:qiskit.passmanager.base_tasks:Pass: CommutativeCancellation - 0.26655 (ms)
INFO:qiskit.passmanager.base_tasks:Pass: GatesInBasis - 0.05865 (ms)
INFO:qiskit.passmanager.base_tasks:Pass: Depth - 0.03958 (ms)
INFO:qiskit.passmanager.base_tasks:Pass: FixedPoint - 0.00381 (ms)
INFO:qiskit.passmanager.base_tasks:Pass: Size - 0.00215 (ms)
INFO:qiskit.passmanager.base_tasks:Pass: FixedPoint - 0.00262 (ms)
INFO:qiskit.passmanager.base_tasks:Pass: RemoveIdentityEquivalent - 0.02646 (ms)
INFO:qiskit.passmanager.base_tasks:Pass: Optimize1qGatesDecomposition - 0.28920 (ms)
INFO:qiskit.passmanager.base_tasks:Pass: CommutativeCancellation - 0.25415 (ms)
INFO:qiskit.passmanager.base_tasks:Pass: GatesInBasis - 0.02718 (ms)
INFO:qiskit.passmanager.base_tasks:Pass: Depth - 0.05412 (ms)
INFO:qiskit.passmanager.base_tasks:Pass: FixedPoint - 0.00381 (ms)
INFO:qiskit.passmanager.base_tasks:Pass: Size - 0.00191 (ms)
INFO:qiskit.passmanager.base_tasks:Pass: FixedPoint - 0.00381 (ms)
INFO:qiskit.passmanager.base_tasks:Pass: ContainsInstruction - 0.00668 (ms)
INFO:qiskit.compiler.transpiler:Total Transpile Time - 343.24265 (ms)
INFO:root:Extracted factors: []
ERROR:root:Error processing task: 'QuantumOptimizer' object has no attribute 'postprocess_results'
